bibkg_id,wikidata_id,other_wikidata_ids,dblp_id,DBLP publication ID,DBLP venue ID,DBLP event ID,DOI,arXiv ID,ieeeXplore,hdl.handle,d-nb.info,ACM Classification Code,ACM Digital Library citation ID,ACM Digital Library event ID,ethos,ISBN-10,ISBN-13,DBLP author ID,ORCID ID,Google Scholar ID
a_Danica_Vukadinovic_Greetham,Q102273127,,homepages/129/9043,,,,,,,,,,,,,,,129/9043,,
a_Frank_L__Lewis,Q102274241,,homepages/82/4281,,,,,,,,,,,,,,,,,rMRit3UAAAAJ
a_Vijay_Mehrotra,Q102274994,,homepages/33/6537,,,,,,,,,,,,,,,33/6537,,
a_Jan_Reimann_0001,Q102277225,,homepages/88/6608-1,,,,,,,,,,,,,,,88/6608-1,0000-0003-1156-8390,
a_Dimitrios_M__Thilikos,Q102278317,,homepages/t/DimitriosMThilikos,,,,,,,,,,,,,,,t/DimitriosMThilikos,,
a_Georges_Bastin,Q102279051,,homepages/97/5926,,,,,,,,,,,,,,,,,ekZX1jUAAAAJ
a_Panki_Kim,Q102279955,,homepages/115/4944,,,,,,,,,,,,,,,115/4944,,
a_Jun_ichi_Tamura,Q102280401,,homepages/51/9403,,,,,,,,,,,,,,,51/9403,,
a_Nicolas_Passat,Q102280901,,homepages/83/4955,,,,,,,,,,,,,,,83/4955,,
a_Vida_Dujmovic,Q102282100,,homepages/87/1621,,,,,,,,,,,,,,,87/1621,,
a_Michael_Falk,Q102282183,,homepages/50/2708,,,,,,,,,,,,,,,50/2708,,
a_John_Kalaska,Q102286137,,homepages/06/390,,,,,,,,,,,,,,,,,uJrcFwYAAAAJ
a_Ioannis_G__Stratis,Q102290331,,homepages/46/9650,,,,,,,,,,,,,,,46/9650,,
a_Pascal_Poupart,Q102291684,,homepages/26/2122,,,,,,,,,,,,,,,,,KhAJWroAAAAJ
a_Christopher_B__Colohan,Q102292961,,homepages/56/1100,,,,,,,,,,,,,,,56/1100,,
a_Angela_Demke_Brown,Q102292962,,homepages/b/AngelaDemkeBrown,,,,,,,,,,,,,,,b/AngelaDemkeBrown,,
a_J__Gregory_Steffan,Q102292963,,homepages/s/JGregorySteffan,,,,,,,,,,,,,,,s/JGregorySteffan,,
a_Myra_B__Cohen,Q102292997,,homepages/79/5975,,,,,,,,,,,,,,,79/5975,,
a_Christoph_Koch_0001,Q102293832,,homepages/k/ChristophKoch,,,,,,,,,,,,,,,,,bMQIencAAAAJ
a_Yan_Liu_0002,Q102302184,,homepages/l/YanLiu2,,,,,,,,,,,,,,,,,UUKLPMYAAAAJ
a_Yuval_Rabani,Q102302629,,homepages/r/YRabani,,,,,,,,,,,,,,,,,vTigGywAAAAJ
a_Rob_Miller_0001,Q102303435,,homepages/m/RobMiller,,,,,,,,,,,,,,,m/RobMiller,,
a_Tobias_J_auml_ger,Q102303643,,homepages/88/9864,,,,,,,,,,,,,,,88/9864,,
a_Alison_Ramage,Q102303662,,homepages/17/3474,,,,,,,,,,,,,,,17/3474,,
a_Ryan_B__Hayward,Q102304636,,homepages/h/RyanBHayward,,,,,,,,,,,,,,,h/RyanBHayward,,
a_Pablo_Barcel_oacute_,Q102305103,,homepages/29/5169,,,,,,,,,,,,,,,29/5169,0000-0003-2293-2653,
a_Akira_Sekino,Q102305315,,homepages/06/6164,,,,,,,,,,,,,,,06/6164,,
a_Anant_P__Godbole,Q102305916,,homepages/80/3968,,,,,,,,,,,,,,,80/3968,,
a_Frits_H__Post,Q102306069,,homepages/68/993,,,,,,,,,,,,,,,68/993,,
a_Yishay_Mansour,Q102306185,,homepages/m/YishayMansour,,,,,,,,,,,,,,,m/YishayMansour,,
a_Chr__Moyssiadis,Q102307733,,homepages/43/5959,,,,,,,,,,,,,,,43/5959,,
a_Tom_aacute_s_P__Barrios,Q102307768,,homepages/43/1707,,,,,,,,,,,,,,,43/1707,0000-0003-2396-8869,
a_Chin_Chen_Chang_0001,Q102308196,,homepages/c/ChinChenChang,,,,,,,,,,,,,,,c/ChinChenChang,0000-0002-7319-5780,
a_Gilberto_Oliveira_Corr_ecirc_a,Q102309167,,homepages/78/11135,,,,,,,,,,,,,,,78/11135,,
a_Alireza_Salehi_Golsefidy,Q102309544,,homepages/48/8356,,,,,,,,,,,,,,,48/8356,,
a_Markus_Endler,Q102309715,,homepages/e/MarkusEndler,,,,,,,,,,,,,,,e/MarkusEndler,0000-0002-8007-9817,
a_Zixiang_Xiong,Q102310393,,homepages/70/2057,,,,,,,,,,,,,,,70/2057,,
a_Didier_Henrion,Q102311188,,homepages/05/7006,,,,,,,,,,,,,,,05/7006,0000-0001-6735-7715,
a_Anthony_Michel,Q102312766,,homepages/19/9361,,,,,,,,,,,,,,,19/9361,,
a_Howard_L__Yudkin,Q102312796,,homepages/134/3722,,,,,,,,,,,,,,,134/3722,,
a_Ergun_Akleman,Q102313661,,homepages/13/568,,,,,,,,,,,,,,,13/568,,
a_Z__Jane_Wang_0002,Q102316141,,homepages/13/3672-2,,,,,,,,,,,,,,,,,Kq0TzK4AAAAJ
a_Nikos_Vlassis,Q102319320,,homepages/v/NikosAVlassis,,,,,,,,,,,,,,,v/NikosAVlassis,,JJWWPjsAAAAJ
a_Xavier_D_eacute_fago,Q102320721,,homepages/d/XavierDefago,,,,,,,,,,,,,,,d/XavierDefago,0000-0002-2377-205X,
a_Stephen_Wollman,Q102320936,,homepages/55/9756,,,,,,,,,,,,,,,55/9756,,
a_Parag_Singla,Q102321198,,homepages/14/167,,,,,,,,,,,,,,,14/167,,
a_Yannis_Haralambous,Q102323864,,homepages/h/YannisHaralambous,,,,,,,,,,,,,,,h/YannisHaralambous,0000-0003-1443-6115,
a_Andrea_Cerri,Q102326296,,homepages/45/1753,,,,,,,,,,,,,,,45/1753,0000-0003-3619-8963,
a_Angela_Guercio,Q102330497,,homepages/g/AngelaGuercio,,,,,,,,,,,,,,,g/AngelaGuercio,0000-0003-2971-9783,
a_Carmen_Gal_eacute_,Q102332973,,homepages/68/2338,,,,,,,,,,,,,,,68/2338,,
a_Garbis_Salgian,Q102336853,,homepages/32/5867,,,,,,,,,,,,,,,32/5867,,
a_Anders_Sandholm,Q102339734,,homepages/33/2327,,,,,,,,,,,,,,,33/2327,,
a_Nicholas_J__A__Harvey,Q102340206,,homepages/93/4141,,,,,,,,,,,,,,,93/4141,,
a_Jordi_Nin,Q102340861,,homepages/29/5284,,,,,,,,,,,,,,,29/5284,0000-0002-9659-2762,
a_Csaba_Szepesv_aacute_ri,Q102341344,,homepages/62/567,,,,,,,,,,,,,,,,,zvC19mQAAAAJ
a_Javier_Esparza,Q102342745,,homepages/e/JEsparza,,,,,,,,,,,,,,,e/JEsparza,0000-0001-9862-4919,c9qgPSYAAAAJ
a_Ron_Peled,Q102344112,,homepages/10/8750,,,,,,,,,,,,,,,10/8750,,
a_Mathieu_Ossendrijver,Q102351128,,homepages/66/4767,,,,,,,,,,,,,,,66/4767,,
a_Yili_Hong_0001,Q102353639,,homepages/66/5863-1,,,,,,,,,,,,,,,66/5863-1,0000-0003-1720-9540,jIJnyHMAAAAJ
a_Wolfgang_Dreyer,Q102359680,,homepages/144/8485,,,,,,,,,,,,,,,144/8485,,
a_Harald_Oberhauser,Q102360403,,homepages/175/1262,,,,,,,,,,,,,,,175/1262,,
a_Mario_Ricchiuto,Q102360629,,homepages/90/9753,,,,,,,,,,,,,,,90/9753,0000-0002-1679-7339,
a_Fran_ccedil_ois_Hennecart,Q102365256,,homepages/71/3773,,,,,,,,,,,,,,,71/3773,,
a_Jerzy_Jaworski,Q102365408,,homepages/63/528,,,,,,,,,,,,,,,63/528,,
a_Alina_Ostafe,Q102365668,,homepages/95/7817,,,,,,,,,,,,,,,95/7817,,
a_Simone_Elke_Hieber,Q102366325,,homepages/19/11168,,,,,,,,,,,,,,,19/11168,,
a_Andrei_V__Lebedev,Q102367703,,homepages/211/6137,,,,,,,,,,,,,,,211/6137,,
a_Mohammad_Ghoniem,Q102368331,,homepages/41/4640,,,,,,,,,,,,,,,41/4640,,
