bibkg_id,wikidata_id,previous_link,other_wikidata_ids,dblp_id,linked_by_id,linked_by_id_recursion_authors,linked_by_id_recursion_journals,linked_by_id_recursion_publications,linked_by_comparisons,linked_by_comparisons_recursion_authors,linked_by_comparisons_recursion_journals,linked_by_comparisons_recursion_publications
p_ethos_Lacey03,Q59580422,,,,1,,,,,,,
p_ethos_Bacic03,Q59580643,,,,1,,,,,,,
p_ethos_Helble08,Q59583417,,,,1,,,,,,,
p_ethos_Ratnasingam10,Q59585082,,,,1,,,,,,,
p_ethos_Batuwitage10,Q59585256,,,,1,,,,,,,
p_ethos_Proctor16,Q59623634,,,,1,,,,,,,
p_ethos_Albatli17,Q59623947,,,,1,,,,,,,
p_ethos_Guillen16,Q59624041,,,,1,,,,,,,
p_ethos_AlTawil17,Q59624205,,,,1,,,,,,,
p_dnb_Leisterer18,Q60190141,,,,1,,,,,,,
j_corr_abs_1801_02027,Q111688200,,,journals/corr/abs-1801-02027,1,,,,1,,,
j_corr_MillerBKM17,Q111688260,,,journals/corr/MillerBKM17,1,,,,,,,
j_corr_Apeltsin14,Q111688327,,,journals/corr/Apeltsin14,1,,,,1,,,
j_corr_abs_1810_02466,Q111688385,,,journals/corr/abs-1810-02466,1,,,,1,,,
j_corr_abs_1804_05979,Q111688447,,,journals/corr/abs-1804-05979,1,,,,1,,,
j_corr_abs_1804_08230,Q111688452,,,journals/corr/abs-1804-08230,1,,,,1,,,
j_corr_CourtoisB14,Q111688608,,,journals/corr/CourtoisB14,1,,,,1,,,
j_corr_abs_1903_09276,Q111688612,,,journals/corr/abs-1903-09276,1,,,,1,,,
j_corr_abs_1908_09564,Q111688621,,,journals/corr/abs-1908-09564,1,,,,,,,
c_edbt_RostGFTR21,Q113301477,,,conf/edbt/RostGFTR21,1,,,,,,,
a_Kathleen_R__Mauchly,Q17520,,,homepages/123/3954,1,,,,,,,
a_Alvin_E__Roth,Q28542,,,homepages/40/4003,1,,,,,,,
a_Abraham_Adolf_Fraenkel,Q61043,,,homepages/199/3324,1,,,,,,,
a_Ehrenfried_Walter_von_Tschirnhaus,Q77288,,,homepages/199/7058,1,,,,,,,
a_William_Prager,Q77938,,,homepages/66/281,1,,,,,,,
a_Ike_Nassi,Q92737,,,homepages/57/3095,1,,,,,,,
a_Frederick_B__Cohen,Q92783,,,homepages/98/2762,1,,,,,,,
